ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"168.227.158.33","elite","AS52898","BR","Multipla Serviços Inteligentes","207","Multipla Serviços Inteligentes","4145","socks4","2227","1","2023-11-14T00:12:06.415Z","99","4775","4808"
"43.129.207.123","elite","AS132203","HK","Aceville Pte.ltd","288","N/A","3001","socks5","4097","84","2023-11-14T00:12:06.413Z","27","1327","4833"
"170.238.180.21","elite","AS266331","BR","Global Net Informatica Ltda","291","Global Net Informatica Ltda","4145","socks4","1706","1","2023-11-14T00:12:06.414Z","99","4683","4741"
"38.127.179.87","elite","AS174","US","Cogent Communications","81","Torlandia Trading SRL","11537","socks5","4693","1","2023-11-14T00:11:56.010Z","100","4745","4754"
"45.228.77.131","elite","AS266682","AR","Daniel Marechal","233","Daniel Marechal","5678","socks4","5009","1","2023-11-14T00:11:56.000Z","96","4521","4697"
"154.66.108.9","elite","AS37642","LS","Comnet Pty Ltd","176","ISPClients","10081","socks4","3692","1","2023-11-14T00:11:55.915Z","99","4784","4814"
"202.124.43.174","elite","AS9902","KH","NeocomISP Limited","301","NeocomISP Limited","4145","socks4","4597","1","2023-11-14T00:11:55.998Z","99","4716","4754"
"159.192.139.42","elite","AS131090","TH","CAT-BB","299","N/A","5678","socks4","4600","84","2023-11-14T00:11:55.915Z","97","4657","4821"
"191.96.49.100","elite","AS19844","US","SBA Edge, LLC","98","Ipxo","3389","socks4","1585","1","2023-11-14T00:11:55.999Z","95","4489","4715"
"14.207.201.149","elite","AS45629","TH","Triple T Broadband Public Company Limited","171","Triple T Broadband Public Company Limited","8080","socks4","2512","1","2023-11-14T00:11:55.913Z","99","4725","4762"
"27.123.3.141","elite","AS45706","ID","PT Tele Globe Global","183","N/A","4145","socks4","5086","1","2023-11-14T00:11:45.012Z","99","4689","4734"
"118.99.73.213","elite","AS17451","ID","BIZNET","189","N/A","61221","socks4","4900","1","2023-11-14T00:11:45.012Z","96","4559","4756"
"91.247.92.63","elite","AS49389","UA","Privately owned enterprise Alexsandrov Yuriy Viktorovich","49","Privately owned enterprise Alexsandrov Yuriy Viktorovich","5678","socks4","5308","1","2023-11-14T00:11:45.014Z","97","4625","4770"
"110.34.166.182","elite","AS45652","SG","VPLS, Inc.","393","Vpls Sin1","4153","socks4","1523","1","2023-11-14T00:11:45.013Z","99","4736","4777"
"142.4.8.1","elite","AS46606","US","Unified Layer","137","Unified Layer","14883","socks4","599","1","2023-11-14T00:11:45.013Z","100","4650","4652"
"43.128.3.115","elite","AS132203","HK","Aceville Pte.ltd","245","N/A","13220","socks4","1487","1","2023-11-14T00:11:34.414Z","100","4783","4796"
"88.135.41.236","elite","AS57391","IR","Laser Company Ltd","84","Laser IDC","4153","socks4","2285","1","2023-11-14T00:11:34.511Z","79","3758","4757"
"45.196.150.222","elite","AS7018","US","AT&T Services, Inc.","93","AQUA Networks Limited","5432","socks4","4397","1","2023-11-14T00:11:34.416Z","98","4642","4727"
"182.160.102.149","elite","AS24323","BD","Aamra Networks Limited","195","N/A","3128","socks5","2089","1","2023-11-14T00:11:34.415Z","99","4656","4691"
"103.210.35.40","elite","AS59151","ID","Diskominfo DIY","284","Bidang Layanan Teknologi dan Informasi Dinas Perhubungan","4145","socks4","5100","2","2023-11-14T00:11:23.714Z","97","4698","4829"
"202.142.167.210","elite","AS9260","PK","Multinet Broadband","159","Multinet Broadband","1080","socks4","2392","1","2023-11-14T00:11:23.710Z","98","4664","4765"
"31.170.19.5","elite","AS42099","LV","DNET ITRisinajumi Ltd.","45","Sia Nano IT","4153","socks4","599","1","2023-11-14T00:11:23.713Z","100","4755","4763"
"14.34.137.10","elite","AS4766","KR","Korea Telecom","298","Kornet","3128","socks4","4591","1","2023-11-14T00:11:23.711Z","100","4751","4761"
"1.0.136.60","elite","AS23969","TH","TOT Public Company Limited","155","TOT Public Company Limited","4145","socks4","999","2","2023-11-14T00:11:23.710Z","45","2176","4793"
"51.83.140.70","elite","AS16276","PL","OVH SAS","27","OVH Sp. z o. o","8181","socks5","1697","1","2023-11-14T00:11:23.712Z","100","4835","4838"
"24.7.10.171","elite","AS33651","US","Comcast Cable Communications, LLC","167","Comcast Cable Communications","2758","socks4","4897","1","2023-11-14T00:11:13.309Z","56","2664","4781"
"103.9.188.138","elite","AS38901","KH","EZECOM limited","195","EZECOM limited","52269","socks4","2901","1","2023-11-14T00:11:13.311Z","97","4679","4800"
"149.20.253.217","elite","AS18615","US","Mainstream Fiber Networks, LLC","101","Mainstream Fiber Networks, LLC","12551","socks4","4786","1","2023-11-14T00:11:13.311Z","100","4768","4776"
"124.121.95.244","elite","AS17552","TH","TRUEBB","191","N/A","8080","socks4","5094","1","2023-11-14T00:11:13.309Z","62","2892","4631"
"148.153.23.18","elite","AS63199","US","CDS Global Cloud Co., Ltd","141","CDS Global Cloud Co., Ltd","39593","socks4","4898","1","2023-11-14T00:11:13.309Z","100","4784","4785"
"143.202.136.55","elite","AS263196","AR","Infosport SA","295","Infosport SA","4153","socks4","2500","1","2023-11-14T00:11:13.311Z","87","4170","4797"
